,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
299,62.685,-0.2651,-0.4578,0.2563,0.1011,0.0
300,62.982,-0.243,-0.5425,0.2346,0.0769,0.0
301,63.279,-0.4365,-0.6452,0.2408,0.0842,0.0
302,63.578,-0.4314,-0.4366,0.2476,0.0803,0.0
303,63.876,-0.2379,-0.4366,0.2531,0.0815,0.0
304,64.175,-0.4501,-0.4953,0.2167,0.0877,0.0
305,64.474,-0.2362,-0.4464,0.2429,0.0878,0.0
306,64.773,-0.4246,-0.6012,0.2756,0.0918,0.0
307,65.072,-0.2362,-0.4334,0.2493,0.0972,0.0
308,65.372,-0.277,-0.5034,0.2476,0.0786,0.0
309,65.672,-0.3177,-0.4627,0.2331,0.0848,0.0
310,65.972,-0.3839,-0.6397,0.2404,0.0893,0.0
311,66.272,-0.2498,-0.4285,0.2334,0.083,0.0
312,66.573,-0.4382,-0.549,0.2378,0.0782,0.0
313,66.874,-0.2311,-0.5148,0.2265,0.0884,0.0
314,67.175,-0.4602,-0.6517,0.2243,0.08,0.0
315,67.477,-0.4009,-0.6517,0.2357,0.0819,0.0
316,67.779,-0.243,-0.4253,0.2548,0.0852,0.0
317,68.081,-0.3907,-0.6478,0.2447,0.0832,0.0
318,68.384,-0.2634,-0.4383,0.2179,0.0858,0.0
319,68.688,-0.3101,-0.6386,0.2571,0.0907,0.0
320,68.992,-0.2515,-0.4448,0.2225,0.0786,0.0
321,69.295,-0.4653,-0.6468,0.2536,0.0958,0.0
322,69.599,-0.4212,-0.6452,0.265,0.0959,0.0
323,69.903,-0.2328,-0.4415,0.2476,0.0941,0.0
324,70.207,-0.4127,-0.5849,0.237,0.0864,0.0
325,70.512,-0.2905,-0.6478,0.2509,0.0924,0.0
326,70.817,-0.4132,-0.5914,0.2186,0.0858,0.0
327,71.122,-0.2852,-0.4627,0.2276,0.0826,0.0
328,71.428,-0.2804,-0.4399,0.2807,0.0911,0.0
329,71.734,-0.2379,-0.6631,0.2501,0.0752,0.0
330,72.04,-0.2481,-0.4203,0.2283,0.0768,0.0
331,72.347,-0.2396,-0.4235,0.2447,0.0946,0.0
332,72.654,-0.0351,-0.347,0.2381,0.0861,0.0
333,72.962,-0.2379,-0.4334,0.2587,0.0874,3.3334
334,73.269,-0.0561,-0.2362,0.2586,0.0774,4.9791
335,73.577,0.3604,0.2672,0.2531,0.0818,1.6528
336,73.884,-0.0308,-0.4362,0.2291,0.0904,0.0
337,74.192,-0.0294,-0.4383,0.2303,0.0782,3.2781
338,74.501,0.3604,0.2753,0.2272,0.1006,1.6323
339,74.809,0.3623,0.1254,0.2104,0.0838,4.8766
340,75.117,0.8033,0.4154,0.2272,0.0727,6.4755
341,75.426,0.5777,0.3829,0.2544,0.0788,0.0
342,75.736,0.7157,-0.0391,0.24,0.0967,4.8169
343,76.045,0.8174,0.3014,0.2891,0.0928,1.5991
344,76.355,0.9485,0.4209,0.2524,0.1015,6.3705
345,76.665,0.78,0.4904,0.2827,0.0915,6.3448
