label,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP,Power
1278,157.803,37.8875,31.7639,12.2219,1.5125,27.4396,0,6.1236,18.48562375
1279,158.6,37.9783,31.8402,12.0872,1.5137,27.8354,0,6.1381,18.29639464
1280,159.397,37.7648,31.7316,12.2357,1.5267,27.3615,0,6.0332,18.68024319
1281,160.194,37.9259,31.7741,12.1058,1.5116,27.3226,0,6.1518,18.29912728
1282,160.993,38.1284,31.9489,12.086,1.4996,27.5003,0,6.1795,18.1241656
1283,161.792,37.9917,31.8199,12.1782,1.5083,27.4612,0,6.1718,18.36837906
1284,162.592,37.8491,31.7825,12.2098,1.5163,27.2063,0,6.0666,18.51371974
1285,163.393,37.912,31.8267,12.1766,1.5058,27.5989,0,6.0853,18.33552428
1286,164.194,38.0289,31.8793,12.0718,1.5066,27.1291,0,6.1496,18.18737388
1287,164.997,38.0062,31.808,12.2438,1.5176,27.5206,0,6.1982,18.58119088
1288,165.8,38.1371,31.9675,12.1701,1.5203,27.4816,0,6.1696,18.50220303
1289,166.604,38.076,31.8691,12.1527,1.5051,27.657,0,6.2069,18.29102877
1290,167.41,38.2244,32.0099,12.2385,1.4986,27.4037,0,6.2145,18.3406161
1291,168.216,37.987,31.8088,12.1188,1.5109,27.3649,0,6.1782,18.31029492
1292,169.022,38.1389,31.9047,12.268,1.5188,27.1127,0,6.2342,18.6326384
1293,169.829,37.9189,31.6654,12.16,1.5115,27.2875,0,6.2535,18.37984
1294,170.637,37.7723,31.8131,12.2086,1.5225,27.6747,0,5.9592,18.5875935
1295,171.447,37.9451,31.9675,12.1001,1.5348,27.2103,0,5.9776,18.57123348
1296,172.257,37.9643,31.7231,12.1888,1.5126,27.1718,0,6.2412,18.43677888
1297,173.067,37.7007,31.8301,12.1956,1.5117,27.1335,0,5.8706,18.43608852
1298,173.878,38.0778,31.8827,12.2118,1.5083,27.5185,0,6.1951,18.41905794
1299,174.69,37.8805,31.7469,12.1588,1.5147,27.0569,0,6.1336,18.41693436
1300,175.503,37.8875,31.9302,12.1354,1.5241,27.4409,0,5.9573,18.49556314
1301,176.317,37.8893,31.7978,12.2599,1.5257,27.4022,0,6.0915,18.70492943
1302,177.131,38.0202,31.7333,12.1219,1.5159,27.5741,0,6.2869,18.37558821
1303,177.946,37.8194,31.8238,12.2778,1.5057,26.9046,0,5.9956,18.48668346
1304,178.762,38.0795,31.9366,12.2179,1.5002,27.7063,0,6.1429,18.32929358
1305,179.579,38.0343,31.847,12.1584,1.5315,27.6673,0,6.1873,18.6205896
1306,180.398,38.0586,31.9675,12.1794,1.5176,27.419,0,6.0911,18.48345744
2057,180.598,38.0656,32.0201,12.1434,1.491,32.2582,0,6.0455,18.1058094
2058,180.85,38.0017,32.1813,12.1667,1.4974,31.7279,0,5.8204,18.21841658
2059,181.102,37.994,32.1593,12.2045,1.4984,31.2148,0,5.8347,18.2872228
2060,181.355,38.0778,32.1152,12.1956,1.504,30.7161,0,5.9626,18.3421824
2061,181.608,38.0516,32.3748,12.1475,1.5099,30.2331,0,5.6768,18.34151025
2062,181.862,38.1493,32.2034,12.141,1.4988,29.7632,0,5.9459,18.1969308
2063,182.115,38.0983,32.1559,12.154,1.5046,29.3095,0,5.9424,18.2869084
2064,182.368,38.3,32.256,12.1548,1.4826,28.8694,0,6.044,18.02070648
2065,182.621,38.1701,32.2983,12.1475,1.4999,28.4423,0,5.8718,18.22003525
2066,182.875,38.0091,32.0269,12.2223,1.5026,28.0261,0,5.9822,18.36522798
2067,183.129,38.1239,32.3408,12.2401,1.5133,27.6218,0,5.7831,18.52294333
2068,183.383,38.2698,32.3032,12.1641,1.4871,27.2291,0,5.9666,18.08923311
2069,183.637,38.1841,32.326,12.2086,1.5141,33.5592,0,5.8581,18.48504126
2070,183.892,38.1479,32.0492,12.1685,1.4989,26.4748,0,6.0987,18.23936465
2071,184.147,38.2684,32.3623,12.3053,1.5013,32.6404,0,5.9061,18.47394689
2072,184.403,38.2547,32.2573,12.2604,1.5108,25.7584,0,5.9974,18.52301232
2073,184.659,38.1354,32.2524,12.1803,1.5183,25.4138,0,5.883,18.49334949
2074,184.916,38.1267,32.087,12.1734,1.5046,25.0771,0,6.0397,18.31609764
2075,185.172,38.1092,32.181,12.1491,1.5081,24.7505,0,5.9282,18.32205771
2076,185.428,38.2715,32.102,12.0933,1.5087,30.5403,0,6.1695,18.24516171
2077,185.684,38.0359,32.1039,12.0807,1.5112,30.1525,0,5.932,18.25635384
2078,185.941,38.1302,32.228,12.1928,1.4975,23.8185,0,5.9022,18.258718
2079,186.198,38.32,32.4081,12.1483,1.4834,29.4031,0,5.9119,18.02078822
2080,186.455,38.2736,32.228,12.2507,1.5021,34.8505,0,6.0456,18.40177647
2081,186.712,38.2684,32.3633,12.1228,1.4905,34.4279,0,5.9051,18.0690334
2082,186.97,38.1982,32.2306,12.1447,1.5078,34.0139,0,5.9676,18.31177866
2083,187.229,38.067,32.0884,12.2854,1.5177,28.0067,0.062893082,5.9786,18.64555158
2084,187.487,38.193,32.2794,12.0921,1.5086,33.2134,1.017388087,5.9136,18.24214206
2085,187.745,38.3039,32.2679,12.2337,1.5089,32.8278,1.971883093,6.036,18.45942993
2086,188.005,38.2262,32.0235,12.1697,1.5057,21.6322,2.933777284,6.2027,18.32391729
2087,188.265,38.2426,32.1847,12.336,1.5003,21.3849,3.895671476,6.0579,18.5077008
2088,188.524,38.3047,32.1067,12.6848,1.5048,31.7162,4.853866075,6.198,19.08808704
2089,188.784,38.5093,32.004,13.2463,1.4991,31.3618,5.815760266,6.5053,19.85752833
2090,189.045,38.4044,31.7012,13.6734,1.4808,20.6759,6.781354051,6.7032,20.24757072
2091,189.305,38.6367,31.7941,14.3994,1.4985,30.6748,7.743248243,6.8426,21.5775009
2092,189.565,39.0704,31.5089,15.1138,1.5115,20.2288,8.705142434,7.5615,22.8445087
2093,189.826,39.3251,31.5005,15.791,1.4986,30.0173,9.670736219,7.8246,23.6643926
2094,190.087,39.7469,31.3515,16.7045,1.5036,24.7487,10,8.3954,25.1168862
2095,190.348,39.9915,30.8871,17.46,1.5124,24.4885,10,9.1044,26.406504
2096,190.61,40.3542,31.0575,18.1862,1.5114,24.2328,10,9.2967,27.48662268
2097,190.872,40.5349,31.0937,18.3878,1.4986,28.7789,10,9.4412,27.55595708
2098,191.134,40.4954,31.0206,18.3737,1.5088,28.4845,10,9.4748,27.72223856
2099,191.396,40.5556,31.0024,18.4576,1.511,28.1961,10,9.5532,27.8894336
2100,191.658,40.5495,31.0117,18.5396,1.4881,27.9135,10,9.5378,27.58877876
2101,191.921,40.7012,31.1563,18.5815,1.517,27.6354,10,9.5449,28.1881355
2102,192.184,40.5887,31.1071,18.4941,1.5132,27.3629,10,9.4816,27.98527212
2103,192.448,40.7206,31.2768,18.5616,1.505,27.0946,10,9.4438,27.935208
2104,192.711,40.5233,31.0324,18.5723,1.503,26.8326,10,9.4909,27.9141669
2105,192.975,40.812,31.2003,18.4463,1.4941,26.5746,10,9.6117,27.56061683
2106,193.239,40.7466,31.0418,18.6729,1.5001,26.3215,10,9.7048,28.01121729
2107,193.503,40.7724,31.3243,18.3673,1.5119,26.0732,10,9.4481,27.76952087
2108,193.768,40.6665,31.046,18.5113,1.5113,30.1333,10,9.6205,27.97612769
2109,194.033,40.4954,30.9204,18.5948,1.5056,25.5885,10,9.575,27.99633088
2110,194.298,40.6996,31.2683,18.3473,1.513,25.3529,10,9.4313,27.7594649
2111,194.564,40.5436,31.1401,18.4421,1.5085,33.4943,10,9.4035,27.81990785
2112,194.832,40.6298,30.9713,18.4454,1.5132,33.1881,10,9.6585,27.91157928
2113,195.098,40.4325,30.9951,18.5276,1.5036,28.7784,10,9.4374,27.85809936
